,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000161798,164.078070624801,9.2782600706616,1.49102976667872,6.22271954457957,4.88610347224056e-10,1.13846210903205e-07
ENSG00000162367,24.5782667334791,7.62144120498231,1.48275376885401,5.14005856203134,2.7465285416432e-07,9.59911725304297e-06
ENSG00000163376,11.0551614489528,3.37528315365434,1.15092144901174,2.93267899086648,0.00336051152307907,0.0172563665942646
ENSG00000163661,182.811557165447,7.99828133497313,1.18142364542813,6.77003661296679,1.28749809553324e-11,4.49980584388869e-09
ENSG00000163735,45.3124908062967,7.36770558082742,1.80635370710206,4.07877236438232,4.52741399966074e-05,0.000586048589956084
ENSG00000164484,5.97483758027612,5.97657518469513,1.81274847346774,3.2969688140253,0.000977343526339717,0.00650631547534726
ENSG00000165275,33.6551235583855,-1.99823713515835,0.781300297293117,-2.55757887470595,0.0105403651487526,0.0425879493582548
ENSG00000165795,109.209382954811,3.32846290681064,0.87495567933093,3.80415029633944,0.000142291771488124,0.00155409294172185
ENSG00000165821,353.525640906745,-2.0871253800939,0.641760130418913,-3.25218922330298,0.00114519754343904,0.00727720984421718
ENSG00000166770,3.54270562356606,4.79063141159741,1.84645325111998,2.5945045771896,0.00947273522673399,0.039413344782661
ENSG00000167580,4.48269235931357,5.15656036995762,1.49014135451334,3.46045048299576,0.000539272403787261,0.00418834900274773
ENSG00000170608,63.8488258577149,-3.81382824848303,1.47395554870445,-2.58747847032105,0.00966812373060492,0.0399882750751056
ENSG00000174697,5.68859171433226,5.05409847778369,1.65436791780311,3.05500271335967,0.00225058486001478,0.0126867646544382
ENSG00000174807,29.6090773299639,7.46990195780522,1.64536365814852,4.53997018884621,5.62621824282156e-06,0.000135611260404561
ENSG00000178343,9.00497994130306,6.58297181548899,1.7485826984573,3.76474719857223,0.000166717665808018,0.00173933803581798
ENSG00000178934,2.49288554511561,3.49082769621114,1.34365006807771,2.59801847158411,0.00937634499511293,0.039413344782661
ENSG00000179636,20.1032002508754,6.01147589807604,1.29342899831774,4.64770459444985,3.35649121249855e-06,8.6895828056907e-05
ENSG00000182103,15.7550644368408,5.67410563328211,1.42434700089429,3.9836540040591,6.78636579155797e-05,0.00084708387291054
ENSG00000182253,37.5915614692853,3.07221279739942,1.01577849598377,3.02449088019333,0.00249051980234435,0.0133913333987592
ENSG00000183571,27.167680222186,4.05825528225691,1.17632972928191,3.4499300504241,0.000560731825833105,0.00426034289410153
ENSG00000184500,86.2152334057102,7.10454277206476,1.33688549680781,5.31424926744202,1.07097933235175e-07,4.40361501949336e-06
